,pid,name,rent,bedroom,ft2,longitude,latitude
61,6741639172,Nob Hill/825 Pine&Powell/Remodeled/Available Now!!,3795,1,,-122.409379,37.791038
62,6729993939,Completely Remodeled,5100,3,1150,-122.417768,37.755974
63,6741638933,$300 Off For Immediate Move -In Give Us a Call!,1850,1,,-121.952795,37.298742
64,6738296885,EXPERIENCE THE SOLACE DIFFERENCE-Just N. Of Emeryville,2500,2,,-122.319132,37.965743
65,6740092466,"One Bedroom, One Bath",2195,1,720,-121.970402,37.324897
66,6741638369,2500 Van Ness #11 - $95 Move-In Special - Available Now!,3195,1,,-122.423641,37.798747
67,6741638236,1 Bedroom Steps From Fillmore Street,2395,1,450,-122.433956,37.792548
68,6741638054,Gorgeous Apartment Home! Walk to Downtown Danville! Coming soon.,3095,2,875,-121.991473,37.811287
69,6732534072,"Nr SJCC, dnst, 6plx, avail. 12/1",1650,1,650,-121.916938,37.312287
70,6738209666,"Downstairs, patio, 8plx, W/D h-ups, garage, pet OK",2150,2,800,-121.960170,37.535122
71,6736476020,BE IN YOUR UPCALE RINCON VALLEY HOME BEFORE THE HOLIDAYS,1939,1,,-122.657550,38.464237
72,6739289725,Gorgeous Waterfront Townhouse 4b/2.5b In Nice Neighborhood,5000,4,1880,-122.263278,37.544435
73,6741637305,Large 1 B/room 1 Bath,1995,1,768,-121.990326,37.546255
74,6719204577,Fantastic In-Law Space with Deck on the Water,2500,1,400,-122.287592,37.568692
75,6741636962,Pinch-Me Location Next to the Financial District and Union Square,3595,1,,-122.409379,37.791038
76,6741636780,"Sunny, spacious 3 bed/bath townhome",4000,3,1300,-122.027378,37.377115
77,6739327363,2 BEDROOM ST. HELENA APARTMENT,1850,2,,-122.466123,38.509161
78,6741636583,Studio/Downtown/449 O'farrell&Taylor/Central location/Available Now!!,1895,,,-122.416700,37.781300
79,6738215039,Discovery Bay large home with a dock,3870,4,3164,-121.605400,37.898900
80,6739320370,ST. HELENA 2 BEDROOM APT.,1900,2,,-122.466445,38.505225
81,6741636508,"Elmwood Newly Remodle one bedroom,Close to UC Berkeley",1900,1,,-122.255216,37.859828
82,6739309074,2 BEDROOM DUPLEX IN NAPA,1950,2,,-122.264507,38.283233
83,6741636389,$400 off For Immediate Move-in! Bright and Airy! Newly Renovated !!!,2200,2,,-121.952795,37.298742
84,6741636067,Studio/Downtown/449 O'farrell&Taylor/Central location/Available Now!!,2095,,,-122.416700,37.781300
85,6741636041,Spacious 2 Bedroom 2 Bath With Washer/Dryer! Join Our Waitlist Today!,1770,2,992,-121.973836,38.354397
86,6741635841,"Easy access to Hwys 280, 85, 237 Pool, Spa, Gym, Granite, Wood Floors",3545,2,940,-122.065023,37.372323
87,6741635843,OAKLAND ALL NEW STUDIO APT (Se Habla Espanol),1400,,,-122.223457,37.782073
88,6741635635,one bed rm. in-law  close to beach,2100,1,,-122.509565,37.747244
89,6741635344,"WAIVED APP FEES, $99 DEPOSIT, FREE AMAZON ECHO, GAS STOVE,NEST",3337,1,642,-122.084473,37.384740
90,6741635293,"Apple Shuttle, Granite Counters, Dual pane windows, Deep Closets",2545,1,765,-121.972061,37.325429
91,6741616439,"2-Bed,/2 -Bath condo for rent at Berrryessa",2950,2,1171,-121.962300,37.392400
92,6741634737,565 Sq.Ft One Bedroom with Loft Available Soon!!!,3162,1,565,-122.409709,37.780181
